model,report,rouge1,rouge2,rougeL,error
t5-small,report10_stroke.txt,0.41509433962264153,0.34615384615384615,0.39622641509433965,
t5-small,report1_chest_pain_mi.txt,0.36496350364963503,0.2518518518518518,0.291970802919708,
t5-small,report2_pneumonia.txt,0.4878048780487806,0.462809917355372,0.4878048780487806,
t5-small,report3_uti.txt,0.28571428571428564,0.2,0.17857142857142858,
t5-small,report4_asthma_exacerbation.txt,0.5084745762711864,0.48275862068965514,0.4915254237288136,
t5-small,report5_gastritis.txt,0.5438596491228069,0.5,0.47368421052631576,
t5-small,report6_dengue.txt,0.40366972477064217,0.2990654205607477,0.3486238532110092,
t5-small,report7_anemia.txt,0.7692307692307692,0.734375,0.4461538461538461,
t5-small,report8_hypertension_followup.txt,0.7394957983193275,0.6837606837606838,0.453781512605042,
t5-small,report9_appendicitis.txt,0.42718446601941745,0.3564356435643565,0.3883495145631068,
